url,rental_type,guests,bedrooms,beds,baths,latitude,longitude,host_name,superhost,years_hosting
https://www.airbnb.com/rooms/1087836460897881140,Entire home,8,4,4,3,32.0728,-81.0904,Lucky Savannah Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1090907489341197328,Entire townhouse,8,3,4,3,32.0766,-81.0772,Timber Meadow Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1092291180817304935,Entire rental unit,4,1,2,1,32.0786,-81.0929,Brandon & Chase Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1093047448331903805,Entire condo,4,2,2,2,32.0793,-81.094,Yu Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1093505241588345972,Entire home,6,3,4,2,32.0262,-81.0518,Lauren 1 month hosting,,
https://www.airbnb.com/rooms/1095471167424152872,Entire rental unit,4,2,,1,32.08145,-81.09555,John 2 years hosting,,2
https://www.airbnb.com/rooms/1097706941028962855,Entire home,16,6,9,7,32.01355,-80.87882,Sandi 2 years hosting,,2
https://www.airbnb.com/rooms/1102450462288152381,Entire home,8,3,6,2,32.0395,-80.9985,Laura W/Southern Grace Stays Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1103568573317222985,Entire rental unit,5,2,3,2,32.0788,-81.0854,Brandon & Chase Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1105248226648161017,Entire home,8,4,5,2,32.01326,-80.86506,Christine Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1107966597827380132,Entire home,8,4,5,3,32.074,-81.0916,Farrell Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1109700607202881682,Entire home,4,1,2,2,32.016,-80.9582,Jacqueline 10 years hosting,,10
https://www.airbnb.com/rooms/1111437311235674906,Entire condo,4,1,,1,32.0226,-80.8589,Mike Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1112371050735344648,Entire home,3,1,2,1,32.1204,-81.24892,Trisha Superhost · 5 years hosting,Superhost,5
https://www.airbnb.com/rooms/11126593,Entire rental unit,3,1,2,1,32.0019,-80.9689,Peggy 13 years hosting,,13
https://www.airbnb.com/rooms/1113836232935487006,Entire home,4,2,2,1,32.0325,-80.97831,Steve Superhost · 14 years hosting,Superhost,14
https://www.airbnb.com/rooms/1113849451276424776,Entire home,10,3,6,3,32.01708,-80.96151,Kathee Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1115959586377919929,Entire home,8,4,5,2,32.0232,-80.9693,Carlos & Marci Superhost · 7 years hosting,Superhost,7
https://www.airbnb.com/rooms/1116177100506504470,Entire rental unit,4,1,2,1,32.0791,-81.0933,Brandon & Chase Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1116798545861547703,Entire home,10,5,5,3,32.2255,-81.1859,Yadelsy 2 years hosting,,2
https://www.airbnb.com/rooms/1122512998995685062,Entire home,6,3,3,2,32.06092,-81.10798,The Hummingbird Host Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1124789260321348741,Entire home,6,2,4,1,32.0359,-81.051,Lisa 2 years hosting,,2
https://www.airbnb.com/rooms/1126038065684347591,Entire home,16,5,10,3,32.00771,-80.97157,Jay Superhost · 9 years hosting,Superhost,9
